t,epo_level,SHP1Act_Obs
19,2.5e-09,-0.0174564499846677
19,2.5e-09,0.00771033122859092
19,2.5e-09,0.035693360679897
19,7.905e-09,0.0246115913538534
19,7.905e-09,0.0249405550416242
19,7.905e-09,0.0387975552798177
19,1.25e-08,0.0305224261777614
19,1.25e-08,0.0377251368318997
19,1.25e-08,0.042698515404041
19,1.75e-08,0.0328308475243298
19,1.75e-08,0.0480338696951303
19,1.75e-08,0.0527755459382198
19,2.5e-08,0.0267335182861536
19,2.5e-08,0.0357806848850982
19,2.5e-08,0.0397606963262377
19,3.95e-08,0.0671146246469002
19,7.9e-08,0.0551265847303781
19,1.25e-07,0.0951813876197788
19,1.7675e-07,0.112176910714595
19,1.7675e-07,0.114082705101646
19,1.7675e-07,0.115594035413571
19,2.5e-07,0.12701630894636
19,2.5e-07,0.128999839026072
19,2.5e-07,0.143706023867892
19,7.905e-07,0.203354666417792
19,2.5e-06,0.267113388612752
19,2.5e-06,0.271933019211718
19,2.5e-06,0.276141553116798
