t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA3_Obs
0,2.03267900047761,0.0102138580871667,75.5624937302083,-2.21652092120503,-95.1800040094632,5.36171297578149e-06
6,1.85628187118611,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,61.4135803887664,NaN,NaN
8,NaN,NaN,5.05301146387275,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,93.7115445869583,NaN
10,NaN,0.146990255531562,NaN,NaN,NaN,NaN
15,1.78288434368765,NaN,22.2330477555875,52.1594861708689,NaN,0.000906499634105523
20,1.97538116510851,0.213274081754643,NaN,NaN,54.7541541959896,NaN
25,1.94951835473212,NaN,61.8626213544307,41.441421240195,18.8522996257139,0.000823088771827531
30,NaN,0.224898584311163,NaN,40.2932353350967,NaN,NaN
35,2.05851446285522,NaN,44.1655807627605,NaN,429.524745039096,NaN
40,NaN,NaN,NaN,33.7546459717402,NaN,0.000668963147242281
45,2.17225897526861,0.263441276626339,53.2624596060302,NaN,NaN,NaN
50,NaN,NaN,NaN,19.029940815123,1066.68024286691,NaN
55,2.34491361653471,0.302530850429756,69.025468247043,NaN,NaN,0.0005699726495291
60,NaN,NaN,NaN,28.5957978715533,1056.66980587392,NaN
70,1.85745218188607,0.404407978207826,70.0154250161287,NaN,NaN,NaN
75,NaN,NaN,NaN,19.8202125315124,1392.61906096709,0.000499299983668159
85,1.5497763836052,0.390543831368422,73.7284819582119,NaN,NaN,NaN
90,NaN,NaN,NaN,13.941869494437,1403.93933094049,NaN
95,NaN,NaN,NaN,NaN,NaN,0.000299228950284983
100,2.61430989702373,0.332186412505908,62.3359306908302,17.2540332926961,1193.43107868162,0.000272489437240625
150,NaN,0.38004671753932,88.7728127337475,6.94438480368901,683.239136896486,0.000210684214217685
200,NaN,0.416754245629816,NaN,NaN,313.000064224546,8.11834337452455e-05
