t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs
0,2.15672476377861,-0.00528789684562605,86.162870460345,-0.0250104663398074,-4.04400187206948
10,1.91227160190648,NaN,NaN,NaN,NaN
15,NaN,0.016880981395193,100.945921047975,0.703881867968368,2.99900076365843
25,2.46491475357599,NaN,NaN,NaN,NaN
30,NaN,0.0403013962100489,97.1424486059742,0.911789350539688,-2.6856439217692
35,2.07599162453016,NaN,NaN,NaN,NaN
45,NaN,NaN,96.4443962698319,0.912748222027166,7.18998268582988
50,1.65077620548636,0.0395577519955698,NaN,NaN,NaN
60,NaN,NaN,86.9016372284668,NaN,13.4942884254806
65,1.68572046064999,0.0538812791474691,NaN,0.902844299260496,NaN
75,NaN,NaN,101.352526618063,NaN,NaN
80,2.32309331345063,NaN,NaN,NaN,38.4309041168447
85,NaN,0.0651410909568449,NaN,0.69753713827118,NaN
100,1.80442426291036,0.0672893552666039,105.155965093204,0.590026552435603,32.0564726660684
150,2.15236473116409,0.0817145972231761,80.9922027145326,0.596559600570392,40.3964963054394
200,1.94216086295116,0.0702710113558734,78.1595890540123,0.433232446065858,24.5007732141315
250,NaN,0.0766884607639165,92.7995968422169,0.51005908972721,23.2398708138736
300,NaN,0.0730058828410864,NaN,0.452311713515459,26.3560879860133
