t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs
0,1.88212423712787,-0.00524452230045829,72.2251268303673,3.33616454096141,-76.9707672845156
10,1.67265850802641,NaN,NaN,12.085640833837,31.842237583843
15,NaN,0.117459830730106,76.9086206939797,NaN,NaN
20,1.31353521377356,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,12.20690763468,-29.0154632512022
30,1.56710049197371,0.120983159090929,66.8590809196391,NaN,NaN
35,NaN,NaN,NaN,15.8443967798609,NaN
40,1.53545361434738,NaN,NaN,NaN,35.1379405701119
45,NaN,0.131903069433527,67.6866713095628,NaN,NaN
50,NaN,NaN,NaN,14.3446177772801,NaN
55,1.93314694176156,NaN,NaN,NaN,173.279453697092
60,NaN,NaN,45.2312583191191,NaN,NaN
65,NaN,0.153251356573961,NaN,15.195489053516,NaN
70,1.89142171578789,NaN,NaN,NaN,335.397961925987
80,NaN,NaN,61.3205840453285,13.0696967555118,NaN
85,2.12106091513554,0.135307546687546,NaN,NaN,514.813947488781
100,2.25372665974264,0.131949875557117,71.3641412051362,12.0195182006435,749.950089600969
150,1.86952150495995,0.197034124315765,53.2465021240424,10.1980414749675,649.092062762704
200,NaN,0.19113938710178,90.1216223483554,7.70612683305357,544.268975575794
250,NaN,0.20553334513228,66.6548282075085,8.39634675825367,428.674570186129
300,NaN,0.238879388343143,63.4911385880804,9.24217859419235,411.541901536643
