t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA3_Obs
0,2.51927355758242,0.00818729644110066,74.5862837579804,-2.17491887888583,-143.577168988485,5.11836487801138e-05
5.5,NaN,NaN,15.6548719126509,NaN,NaN,NaN
7,0.828932588148802,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,76.6287878046914,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-91.3864029133425,NaN
10,NaN,0.0726632673333644,0.246080775714148,NaN,NaN,NaN
15,2.08519651723674,NaN,13.6177692221889,69.8286054568536,25.3270101737513,0.00107769770791369
20,2.06160521235087,0.110584822441509,NaN,NaN,NaN,NaN
25,NaN,NaN,25.5447550163955,57.4484972542243,-63.644430908071,0.00118646365794233
30,1.47892324270723,0.08896856670571,25.1081550885624,NaN,NaN,NaN
35,NaN,NaN,NaN,48.1747825598819,715.069556922265,NaN
40,1.81184509185955,NaN,34.539398878056,NaN,NaN,0.000908058551506903
45,1.98887856791035,0.137397924195377,44.2626834594844,35.159040497669,773.964689922204,NaN
55,NaN,0.118250209862231,42.1635304796432,39.7269091345385,1584.58364195941,NaN
60,1.78916790238114,NaN,NaN,NaN,NaN,0.000612566950241699
65,NaN,NaN,NaN,31.4298568116227,1745.98302438333,NaN
70,1.94372105834725,0.162229796018361,45.7972198119379,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.000549960164457059
80,NaN,NaN,54.6089513255111,17.1441597579905,2089.29818726443,NaN
85,1.97583372104372,0.164471364878513,NaN,NaN,NaN,NaN
95,NaN,NaN,60.7201960597842,NaN,1705.90810891917,0.000392799955440918
100,2.08436724669776,0.148924796063685,70.8568539719993,28.6321936647671,1832.47576630372,0.000304804038695399
150,1.28424423423496,0.156554127979991,79.7274565695578,1.00485092301584,920.912342371358,0.000221905287024919
200,NaN,0.167447180107129,NaN,NaN,458.305170532124,9.80995990220027e-05
