t,epo_level,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs
60,2.5e-09,1.88078539035478,78.8425056827445,1.64958449204628
60,2.5e-09,1.90199246720242,91.1277802556351,4.29352844907964
60,2.5e-09,2.34092734909485,86.8462977238784,5.58392091553848
60,2.5e-08,2.03475728539675,62.2766537254804,22.5984035516442
60,2.5e-08,2.16480144204567,49.298749700511,20.8261076713034
60,2.5e-08,2.24560318471327,59.9371099386692,20.4421612887353
60,1.25e-07,1.57237945612267,67.8454593540476,26.7224912853762
60,1.25e-07,1.82237800877492,52.2217371541879,21.2305765722902
60,1.25e-07,2.07362989120292,65.5668266726077,26.8396546631248
60,2.5e-07,1.56691379087132,54.2540890006543,30.8940451005024
60,2.5e-07,1.75536056400512,66.4574719731071,31.467956012527
60,2.5e-07,1.81261505547944,58.8763425239367,25.3886982081947
60,2.5e-06,1.28868561644227,43.657527829613,26.9921620961484
60,2.5e-06,1.52112923055603,53.8773619025567,31.2233341958142
60,2.5e-06,1.68580463471021,49.0646156328917,33.8048068669717
