t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs
0,2.27425000437809,-0.00579433704490785,98.157249474978,-0.00158929742543155,0.64832902391663
10,1.5328346264467,NaN,NaN,0.372427364861546,NaN
15,NaN,0.0253531488647455,92.1045488539761,NaN,-0.0351909872958766
25,1.73043758633735,NaN,76.6687174535544,0.933338641323341,2.18208375068516
30,NaN,0.0403264572414651,NaN,NaN,NaN
35,2.03170565908243,NaN,NaN,NaN,NaN
40,NaN,NaN,87.7710512853616,0.973105833045162,10.3986764214765
45,NaN,0.0360265385558697,NaN,NaN,NaN
50,1.66613572742316,NaN,NaN,NaN,NaN
55,NaN,NaN,75.0878289879287,0.830974442188082,17.5662604667534
65,1.80730253862407,0.0745154950576362,NaN,NaN,NaN
70,NaN,NaN,81.2423704910594,0.892885228866587,28.6317153961583
85,2.08443200093209,0.0632442965123237,NaN,0.753655445536956,NaN
90,NaN,NaN,85.3081162362871,NaN,40.7885135995813
100,1.82012091148842,0.0599077533970753,68.200061511138,0.660117130703643,42.0973175834541
150,2.40161728345543,0.0738996132814652,90.3005050483524,0.592415531608375,33.9062316474475
200,2.37027840775028,0.0730833880497335,111.605878140436,0.449685332858759,30.7786569707582
250,NaN,0.082220921289113,102.707660330997,0.487331365184255,21.9959066240941
300,NaN,0.0689942740110048,NaN,NaN,21.930470444775
