t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA4_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,1.95355867475498,0.0279080789017379,84.7746162149975,2.61798030571496,-351.08035398785,27.2129769759917,0.000205553023011524,0.0335407807714946
10,NaN,NaN,2.87564912204222,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,65.5504908387227,1162.92428668642,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,204.403533994812,NaN,NaN
25,2.3844866007741,NaN,27.705543411739,NaN,2083.86967038878,NaN,0.00110492343059542,NaN
30,NaN,NaN,NaN,49.9918440356322,NaN,NaN,NaN,2.44752216166203
35,NaN,NaN,NaN,NaN,NaN,452.883696203308,NaN,NaN
40,NaN,0.155963891006692,36.261079747437,NaN,2495.07799509285,NaN,NaN,NaN
50,1.57538611824385,NaN,NaN,33.0161065155634,NaN,NaN,0.000791272066269389,NaN
55,NaN,NaN,41.1961644574742,NaN,2214.847904808,1185.5167339783,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.67362704406784
65,NaN,NaN,NaN,26.9254428045847,NaN,NaN,NaN,NaN
70,NaN,NaN,45.8531408956962,NaN,NaN,NaN,NaN,NaN
75,NaN,0.167792830507177,NaN,NaN,2159.94461370276,1940.90111216611,0.00042713524091099,NaN
80,1.76327034246217,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,70.0936499512218,21.6472750808166,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,1146.93668079169,NaN,NaN,6.56631749234188
100,1.67877617627269,0.148679570943516,69.0267392696264,12.6246719519594,1239.7291403324,1870.85262618448,0.000247154516680518,NaN
150,1.74642843683778,0.19895600603822,57.1153886438555,15.5320333887667,746.538224450403,1043.9892741119,0.000256600956540319,5.95209343260814
200,2.22627275118593,0.224946630994165,86.6271370821,5.25518248152838,422.00738722306,466.927920015027,0.000135019617304189,5.37511442730348
250,1.73805809266574,0.166774917171847,67.1919655593423,12.2438015749215,577.250492939776,403.696466154258,NaN,3.0324049979604
300,1.6156346799172,NaN,NaN,7.91319536297306,594.534039410542,576.797003319978,NaN,NaN
350,1.66376547482594,0.21825515537388,NaN,8.77155882591443,NaN,464.099875323691,NaN,2.68085041465976
400,NaN,0.222834001961727,NaN,NaN,NaN,NaN,NaN,2.8886326417564
500,NaN,0.158118462580634,NaN,NaN,NaN,NaN,NaN,2.60225788941845
600,NaN,0.21860263526104,NaN,NaN,NaN,NaN,NaN,3.06202118034302
700,NaN,0.228758876909795,NaN,NaN,NaN,NaN,NaN,NaN
