t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs
0,2.28303558822474,-0.0295125590437639,93.1012302292159,0.736901845237629,202.34571467262
10,1.74294355227938,NaN,-1.34965743055333,NaN,41.3796459376652
15,NaN,0.105387200776355,NaN,65.6555691427936,NaN
20,2.25044711720284,NaN,23.6471796433635,NaN,172.735399816151
25,NaN,NaN,NaN,50.0476278704638,NaN
30,NaN,0.084745518119018,NaN,NaN,NaN
35,1.74948837094289,NaN,12.3270056044929,NaN,410.815783570996
40,NaN,NaN,NaN,38.5325015311703,NaN
45,1.67560192181517,0.134026707984511,38.8127739872164,NaN,815.025396121371
55,NaN,NaN,NaN,34.4922428622534,NaN
60,1.74707290651741,NaN,57.5995818485554,NaN,1647.96436690925
65,NaN,0.127705668755841,NaN,NaN,NaN
70,NaN,NaN,NaN,24.3781399344005,NaN
75,1.5236344894061,NaN,66.265464245326,NaN,1826.47226123326
80,NaN,0.188665258102841,NaN,NaN,NaN
90,NaN,NaN,47.4629905215135,21.955959239819,NaN
95,2.11094351067375,NaN,NaN,NaN,1897.60386480733
100,1.77377951238533,0.171996096553827,72.3870563950764,11.1997498240492,1800.30741820067
150,2.03825870807207,0.161751407144529,85.0419705817848,6.28120313870745,1060.2742525464
200,NaN,0.222938307008738,74.6211742627545,8.84735110938154,288.077861435678
250,NaN,0.166106133547186,72.8146381299927,6.90746384626768,263.87240447299
300,NaN,0.189856306789303,NaN,NaN,298.852328855399
