t,epo_level,CISnRNA4_Obs
17,2.5e-09,-3.28291734180757
17,2.5e-09,1.06158923327975
17,2.5e-09,2.603269492263
17,2.5e-08,6.98315142055643
17,2.5e-08,9.0090410083828
17,2.5e-08,10.2133289212667
17,1.25e-07,29.2299068302109
17,1.25e-07,31.8740211512439
17,1.25e-07,34.0991643426624
17,2.5e-07,29.6740893056541
17,2.5e-07,33.9448149238915
17,2.5e-07,40.2635297885451
17,1.25e-06,39.4539870268192
17,1.25e-06,50.3971606646811
17,1.25e-06,53.115411155054
17,2.5e-06,51.0027908321423
17,2.5e-06,53.8726526409074
17,2.5e-06,55.3712663525824
