t,STAT5A_Obs,STAT5B_Obs,pApA_Obs,pBpB_Obs,nucpApB_Obs,nucpBpB_Obs
0,133.860861721379,67.6715574055667,1.02110369980165e-07,6.7254842149717e-08,-2.2805446265393,-2.74039319365291
8.5,NaN,NaN,6.45350869134997e-06,NaN,NaN,NaN
9,NaN,NaN,NaN,1.84492121747097e-06,NaN,NaN
15,48.6013164653882,-2.46183302203501,3.00090255474059e-06,NaN,NaN,32.7428815145697
20,NaN,NaN,NaN,5.67513850154585e-07,18.7660190775269,NaN
25,49.6496940106057,NaN,1.50721986116416e-06,NaN,NaN,NaN
30,NaN,14.0072274290785,NaN,3.65776312593945e-07,NaN,35.6132004944815
35,NaN,NaN,NaN,NaN,21.5292273548288,NaN
40,45.1652914503093,NaN,5.44309476953962e-07,1.85493542856994e-07,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,28.6214821420757
50,NaN,12.4388457014903,1.12795021037079e-06,NaN,NaN,NaN
55,56.1690328854554,NaN,NaN,2.14549288891688e-07,32.8914259030849,NaN
65,NaN,17.2431828411445,-5.91039820650647e-09,NaN,NaN,25.3738318763052
70,62.418952504435,NaN,NaN,-3.08047627910872e-09,NaN,NaN
75,NaN,NaN,NaN,NaN,62.4431372812008,NaN
80,NaN,NaN,1.91583329676423e-07,NaN,NaN,17.5459004645734
85,40.741845699024,22.7353533606491,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,3.9635555917248e-08,NaN,NaN
100,71.220560735886,25.4532247093992,NaN,NaN,61.7971096091282,13.0932256599718
150,73.4447368876064,22.7350637276617,NaN,NaN,71.8458916172881,6.50222966144479
200,101.0948577144,36.1417989458475,NaN,NaN,83.8958479694803,4.39037407566839
250,108.378631621438,24.0391741919135,NaN,NaN,100.7586840989,3.37904392203844
300,127.252603929548,39.2688568798851,NaN,NaN,93.5144494208693,1.44003428158176
350,NaN,NaN,NaN,NaN,88.731519103451,-0.309353313822888
400,NaN,26.2146595625847,NaN,NaN,95.9823260612963,NaN
