t,IL13_Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,DecoyR_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs
0,9.68931846865206e-08,9.25814878667779e-05,0,0.373103826234911,176.078089247151,389.036561970218,157.442375153223
10,NaN,0.0670930879475746,NaN,NaN,148.384768478662,305.603442385668,199.453567319716
15,1.81899895340142e-05,NaN,0.178267194052724,0.210884817802842,NaN,NaN,NaN
25,NaN,0.0907272796690478,NaN,NaN,182.287932464903,471.985185525914,230.022324306341
30,1.55990740577592e-05,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.170612347909673,0.111532139869912,NaN,616.219504229501,309.824705681246
40,NaN,0.0789186301451558,NaN,NaN,254.344697835721,NaN,NaN
45,1.32252993492908e-05,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,0.0688016253275638,0.184283381070262,NaN,NaN,746.463041158114,559.006850608562
55,NaN,NaN,NaN,0.0818274098701373,286.389817223753,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,541.012263984439
65,1.98127471643256e-05,0.059400626067486,NaN,NaN,NaN,980.21402780653,NaN
70,NaN,NaN,NaN,NaN,391.734544396545,NaN,NaN
75,NaN,NaN,0.219607221993127,0.0365784546423989,NaN,NaN,976.870311885615
80,NaN,NaN,NaN,NaN,NaN,1367.91918684132,NaN
85,1.88993840405861e-05,0.0642330635164009,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,968.413840390034,NaN,NaN
95,NaN,NaN,0.217852030627731,0.0121211150347234,NaN,NaN,1451.96600234606
100,2.1605097448748e-05,0.0702843783621677,0.216671475945624,0.0181192581748384,719.821681618201,1900.06458603404,1890.64123511002
150,3.74470231669763e-05,0.0802247415598398,0.233828183871744,0.00213234740922612,987.12495761153,2688.55589343904,2062.07408094984
200,6.90640601049697e-05,0.0485753906683556,0.24467828432792,0.00046050337649799,749.777672622894,2173.21590697207,2500.52483723891
250,7.56276367484023e-05,0.0648036353229187,0.178607154910228,0.000172132496227608,NaN,3505.00542403462,2490.15610517451
300,8.35352866046768e-05,0.057649025488096,0.187639802336877,0.00010448537084081,NaN,5320.32776470893,3184.56109124774
