t,p_IL13_Rec_i_Obs,DecoyR_Obs,Compound_3_Obs,Compound_4_Obs
0,0,0.3741800796593,213.553259696794,189.880169661211
3.5,NaN,0.023566823753806,NaN,NaN
7,NaN,0.00387370098715307,NaN,NaN
10,1.01952274232504,0.000642616967062731,245.302009010295,145.657627909066
15,NaN,0.000153617379238591,NaN,NaN
20,1.58261687196879,0.000115928616793362,NaN,291.518441457196
25,NaN,0.000136448488797817,363.121172033142,NaN
35,1.59061731764089,NaN,561.13361274266,651.697590234854
45,1.78997656443602,NaN,597.877663393387,826.833775293984
60,1.92009456827966,NaN,1058.44365104833,856.729305597737
70,1.70387392922125,NaN,NaN,NaN
75,NaN,NaN,1118.81582209793,1134.14221099526
85,1.97950804780821,NaN,NaN,NaN
90,NaN,NaN,NaN,1759.82419272623
95,NaN,NaN,1441.62074018134,NaN
100,1.22760924910996,NaN,1949.70652575303,2110.9342349693
150,1.12284912149885,NaN,2037.01106152287,2979.22692512157
200,1.41987069358446,NaN,3463.0131889119,2898.10237537955
250,1.24378081921697,NaN,4340.58765421914,4273.35824024744
300,1.235026873915,NaN,5511.74027148677,4414.55465717301
