t,IL13_Rec_Obs,p_IL13_Rec_Obs,SOCS3mRNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,9.00203754137652e-08,0.000635238205343192,0,173.570976140121,265.344778040402,186.555552869351,147.28662571626
10,NaN,0.202028306819097,15.048318871567,137.959910687777,231.823520951559,199.527662989987,188.813567054854
15,4.04877857916891e-05,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.264216731557228,NaN,NaN,373.157279705341,NaN,NaN
25,NaN,NaN,118.136332164227,157.669718049552,NaN,444.487703934287,231.612979046868
30,NaN,NaN,NaN,NaN,704.20013907299,NaN,NaN
35,2.93587608843649e-05,0.205837625099001,181.639015435246,NaN,NaN,503.692850322666,NaN
40,NaN,NaN,NaN,277.703406276517,NaN,NaN,687.809265065219
45,NaN,0.24541320137365,NaN,NaN,1055.94744810066,NaN,NaN
50,NaN,NaN,373.14293262611,NaN,NaN,750.675194610888,854.810856135723
55,3.38534568724029e-05,NaN,NaN,393.075100944053,993.317483250475,NaN,NaN
60,NaN,0.375553662717782,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,628.713627349735,NaN,NaN,1058.60135594572,1152.90495021284
70,NaN,NaN,NaN,565.320273306256,1333.26859120833,NaN,NaN
75,4.37127657474425e-05,0.263744020221592,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,910.252400577992,NaN
85,NaN,NaN,806.391141983443,589.052871823434,NaN,NaN,1498.3575566202
90,NaN,0.227478369623223,NaN,NaN,2389.99577427927,NaN,NaN
100,3.72781896248248e-05,0.367957034651868,1124.91829168886,809.528415286981,1999.34867663786,1419.41061549018,2196.47210756211
150,0.000104477244473538,0.19475930874473,1803.98732108331,1030.40296134621,3700.19221531336,3220.84806325459,2548.68253805171
200,0.000117675615587789,0.228665734164089,1911.80774082573,1194.42925054944,3824.42867404855,2831.39047122271,4002.07106956091
250,9.31441220059284e-05,0.282221753543359,2438.46692225521,1266.17651416738,5152.50068451294,NaN,5082.46818357958
300,0.000110817446035115,0.303708142375782,3092.47694036389,1468.39061947616,3831.6116743291,NaN,3775.6408999034
