t,p_IL13_Rec_i_Obs,Rec_i_Obs,Rec_Obs,Compound_1_Obs,Compound_2_Obs
0,0,131.430748190003,1.43126043406888,176.376108902122,254.07345303837
5,NaN,NaN,NaN,NaN,316.50887845321
5.5,0,NaN,NaN,NaN,NaN
6,NaN,202.873802550399,NaN,143.349450275817,NaN
6.5,NaN,NaN,0.940463333947413,NaN,NaN
10,0,162.113280366743,NaN,NaN,403.69243312716
15,NaN,NaN,1.05574684615266,100.81107652632,373.517110825932
20,0,150.645566586724,1.01767464358223,198.871065500821,263.456717126031
25,0,190.25732335105,NaN,NaN,NaN
30,NaN,NaN,1.04348084805452,136.314344618981,314.859606813611
35,0,128.370454380189,NaN,164.824163638553,242.791042778624
40,NaN,NaN,0.896188289275226,NaN,NaN
45,0,151.888268028918,NaN,NaN,272.326789562939
50,NaN,NaN,0.89760477729299,188.333202204746,NaN
55,0,NaN,NaN,NaN,306.813343296278
60,NaN,103.000895260236,NaN,163.108323398251,NaN
65,NaN,NaN,0.850910118197927,NaN,NaN
70,NaN,NaN,NaN,NaN,283.640305587923
75,0,110.178363677343,NaN,187.073852713252,NaN
85,NaN,NaN,1.03374899021285,NaN,NaN
