t,IR_Obs,IRiP_Obs,IRSiP_Obs
0,10.1173268382387,1.48024089184388e-05,0.0804183735540307
1,NaN,NaN,0.836820715674735
1.5,5.14327178382227,0.000327144809175865,NaN
2,NaN,NaN,1.24431953202104
2.5,NaN,0.000325030751213536,NaN
3,10.2347891485972,NaN,NaN
3.5,NaN,NaN,0.621664730016896
4,NaN,0.000518571704429049,NaN
4.5,NaN,NaN,1.19963739961574
5,2.90307533311935,NaN,NaN
5.5,NaN,0.000657902294952639,NaN
6,NaN,NaN,1.8523301305452
7,1.41213139831515,0.000286101320357257,NaN
7.5,NaN,NaN,1.41181279453246
8.5,NaN,0.000687966667347016,NaN
9,NaN,NaN,1.90346749935824
9.5,0.929481817141482,NaN,NaN
10,1.18284577012522,0.000226348642042572,0.858298300141142
15,0.676192960948557,0.000224270633478956,1.54240148334743
20,0.617271180831245,0.00035904344166891,1.45594108834364
