t,IR_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRSiP_Obs,XXp_Obs
0,11.2606676125544,3.54911871342917e-09,1.53176269363951e-05,0.0430663824048188,0.0611426837800691,0.000157366745942844
2,NaN,NaN,NaN,NaN,2.05192759169214,NaN
2.5,NaN,2.0920343222005e-06,NaN,NaN,NaN,NaN
3,0.0805294818007079,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,1.42897084055157,NaN,NaN
4.5,NaN,NaN,0.000543788385234029,NaN,1.22311639394018,0.00323719375397489
5,NaN,1.6995597551017e-06,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,1.32664186685222,NaN
7,0.0903661267243115,NaN,NaN,NaN,NaN,NaN
7.5,NaN,9.00166749652312e-07,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,5.77685815383811,NaN,NaN
9,NaN,NaN,0.000321494509083092,NaN,1.49893136139515,0.00328653835006554
10,0.0835019646596912,1.42185022971403e-06,NaN,4.67104760812204,0.691735816309439,NaN
15,0.0682083054466016,7.95379240718213e-07,0.000482909142020398,8.61396828970306,0.994487564795921,0.00463934010275537
20,0.051928262908251,7.82398828219925e-07,0.000351035869720148,7.74165599652814,0.753523140270788,0.00157664009154469
25,0.0847252841304349,5.04011237977829e-07,0.00022416393192551,9.30301243707438,0.754857024632746,0.00173580030100685
30,NaN,6.02894219658782e-07,NaN,NaN,0.95960602022289,0.00204654268586287
35,NaN,NaN,0.000274924101205912,6.87368623519492,0.502376065442813,NaN
40,NaN,7.81229535634407e-07,NaN,7.06782191275183,NaN,0.0020103666296436
45,NaN,6.40085781287092e-07,0.000224725034339922,NaN,NaN,NaN
50,NaN,NaN,NaN,12.0231164359457,NaN,0.00158439487656473
60,NaN,NaN,NaN,4.98332764214308,NaN,0.00122785299085689
70,NaN,NaN,NaN,6.69375381497466,NaN,0.0020213568612734
