t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,-0.000105553112102983,-0.00907516686575141,-0.0182685943867381,-0.00469893661718087
0.35,NaN,0.630842583413833,NaN,0.573540788587618
0.4,0.00693409348909446,NaN,0.366378240604531,NaN
0.7,NaN,0.405027796146601,NaN,0.433063089354225
0.75,NaN,NaN,0.577442265008734,NaN
0.8,0.00472868688754279,NaN,NaN,NaN
1,NaN,0.306461530239092,0.561238207640413,0.3166222991948
1.5,0.00340374774873532,0.293045244629968,0.69461800273021,0.362417113692706
2,0.00361832304689699,0.276844644346622,0.606930925185112,0.280668426457061
2.5,0.00331996515206893,0.271719523632012,0.671607765634975,0.275095920532331
3,0.00363149168089563,0.269902334263534,NaN,0.303732894877122
3.5,0.00329508840511275,0.316212613568407,0.603584337887451,NaN
4,NaN,NaN,0.648393382526144,0.335059758815749
4.5,0.00345974370988162,0.244763245515168,NaN,NaN
5,NaN,0.348857905753144,0.679750449552302,0.267894041975234
6,0.00316806834175524,NaN,0.651552457198465,0.271484772668774
6.5,NaN,0.314014802396042,NaN,NaN
