t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,0.000611648638026717,-0.00738160670998434,0.0207967007045941,-0.00783313595580507
0.35,NaN,0.607346072621938,NaN,0.669213674017666
0.45,0.0255538778872056,NaN,NaN,NaN
0.7,NaN,0.423792915652346,NaN,0.484270575794484
0.9,0.0183608333467465,NaN,NaN,NaN
1,NaN,0.426434325029054,NaN,0.409979293791424
1.5,0.0169708382485685,0.383776059046895,NaN,0.418380014039664
2,0.0162728865244709,0.329240707010805,NaN,0.379434976594111
2.5,0.0156021869763725,0.333104081110475,NaN,0.395284153591946
3,0.0165252052273386,0.361901036712097,0.440296203622197,0.379937815493289
3.5,NaN,0.34084108989527,NaN,0.317383103519161
4,0.0153835120768584,0.390415469674164,NaN,NaN
4.5,0.0163833761349678,NaN,NaN,0.350509556401551
5,NaN,0.336700476221249,NaN,NaN
5.5,NaN,NaN,NaN,0.362694651040621
6,0.0162676371214411,0.372474142006551,0.499156302618022,NaN
6.5,NaN,NaN,NaN,0.389410881855316
7,0.015667478166265,NaN,NaN,NaN
9,NaN,NaN,0.464092713880632,NaN
15,NaN,NaN,0.484738577837517,NaN
