t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,0.00139849818766779,0.0189615215719323,0.0304324286027389,0.0286240285150274
0.35,NaN,0.546921483243075,NaN,0.613004822827462
0.4,0.0231194719547798,NaN,NaN,NaN
0.65,NaN,0.417487181015042,NaN,NaN
0.7,NaN,NaN,NaN,0.497561081006379
0.75,0.0192947915120548,NaN,NaN,NaN
1,0.0183489147248397,0.341853499220819,NaN,0.408608773934877
1.5,0.0151256253965594,0.3863878369978,NaN,0.438656075017078
2,0.0164363178572692,0.376710624086132,NaN,0.388313206160306
2.5,0.0142224517817773,0.366712777468686,0.458163220640375,0.314538854880355
3,NaN,0.315149959610565,NaN,0.3972520690249
3.5,0.014892566893996,0.335692856523121,NaN,NaN
4,0.014523612474214,0.370579119381445,NaN,0.371582741796748
4.5,0.0170894105791477,NaN,NaN,NaN
5,NaN,0.334503308813793,0.479153952799427,0.343394431232683
5.5,0.0148875450190295,NaN,NaN,NaN
6,NaN,0.333301481250544,NaN,0.360622020296476
7,0.0140652505295433,NaN,NaN,NaN
8,NaN,NaN,0.492130214192247,NaN
10,NaN,NaN,0.398142657138134,NaN
15,NaN,NaN,0.465391327009574,NaN
