t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,0.000225039115045001,0.0152386541351716,0.0361076026825598,-0.00958230544046231
0.35,NaN,NaN,NaN,0.589337269836645
0.45,0.0234713076943901,0.481759573040027,NaN,NaN
0.7,NaN,NaN,NaN,0.490279982801905
0.9,0.0174908867019182,0.391841714900956,NaN,NaN
1,NaN,NaN,NaN,0.396781641896173
1.5,0.0166648999813382,0.334933047547666,NaN,0.406087673878839
2,0.0149888323756715,0.340332250922482,0.48561009870704,0.355476655774244
2.5,0.016614633373881,0.33388011355772,NaN,0.33550243309803
3,0.0170497923902487,0.345789727705674,NaN,0.38480760838731
4,0.0142607630391435,0.334659977326544,0.497613767932306,0.348948365001324
5,0.0154831078734454,0.345887058672176,NaN,0.323493587001731
6,0.0132611284070595,0.324219856425774,0.44568603633705,0.307164158756171
7,NaN,0.344667859283809,NaN,NaN
8,NaN,NaN,0.460757040881597,NaN
10,NaN,NaN,0.492747088194723,NaN
15,NaN,NaN,0.501325109553682,NaN
20,NaN,NaN,0.503090677582256,NaN
