t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,0.00377266008417172,-0.0140425477425971,0.0022113678118158,-0.0049425934974324
2,0.0543633383184543,0.227780761423324,NaN,0.261283669396023
2.5,NaN,NaN,0.0835981954115985,NaN
4.5,0.0584619438931128,0.188401223153219,NaN,0.272104705897967
5.5,NaN,NaN,0.107783568497677,NaN
7,0.0503177549756261,0.208465839032313,NaN,0.232783820225264
9,NaN,NaN,0.098249752319229,NaN
10,0.0508864067441537,0.212860960520649,NaN,0.24953258859874
15,0.0493487373423173,0.201094785730951,0.101072988442205,0.259511878842499
20,0.054415727787183,0.206470689183002,NaN,0.275825783272578
