t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,-5.12364767844587e-06,-0.00106367340274255,-0.0294424911750387,0.0187973819702452
0.15,NaN,NaN,0.194791678148086,0.740539718669109
0.2,NaN,0.680394931971708,NaN,NaN
0.3,0.000104066007287244,NaN,0.441874438259834,NaN
0.35,NaN,NaN,NaN,0.490543910189398
0.4,NaN,0.391599733678808,NaN,NaN
0.5,NaN,NaN,0.703244787588135,NaN
0.55,7.58423858946086e-05,NaN,NaN,0.325197184021013
0.65,NaN,0.341406870423225,NaN,NaN
0.7,NaN,NaN,0.750216227915195,0.31628386492141
0.9,5.45801186587465e-05,0.2668567794666,0.805803014831789,NaN
0.95,NaN,NaN,NaN,0.228045869610935
1,4.89378512919563e-05,0.268944701432297,0.757074835015238,0.241924407180268
1.5,4.400631672651e-05,0.200954044929033,0.768155771353354,0.201709119439871
2,3.88505292256296e-05,0.219902350181688,NaN,0.235472786716681
2.5,3.6403215300159e-05,0.20636526645361,NaN,0.205918106049273
3,NaN,0.198234868056857,NaN,0.237116982156666
3.5,4.90219927076151e-05,NaN,NaN,0.195945670300376
4,3.58399838108277e-05,0.213817661641769,NaN,NaN
