t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,0.000436293259966443,0.021802357475291,0.00186223153177473,-0.00853404481667423
2,0.0318921441000468,0.29955009859283,NaN,0.327049289460945
3,NaN,NaN,0.279488866422805,NaN
4,0.0337554280899171,0.319792677208584,NaN,0.353670305370409
6,0.0362602878626925,NaN,0.308627706586879,0.312325207315732
6.5,NaN,0.321495748524795,NaN,NaN
8,NaN,NaN,NaN,0.313531620160678
8.5,0.03346931599082,NaN,NaN,NaN
9,NaN,0.311866033251953,NaN,NaN
10,0.0319433239879166,0.334795525812654,0.251357376082479,0.368128194834998
15,0.031786818397852,0.324160077482685,0.237146761138123,0.30967776286247
20,0.034543005707267,0.293548639362224,0.268961714315087,0.352595056221025
