t,IPR_O_Obs,IPR_A_Obs,IPR_I2_Obs,Compound_1_Obs
0,-5.42948309852827e-05,-0.00589735044531402,0.00662526174480826,0.0162396031998706
0.15,NaN,NaN,0.214581376898369,NaN
0.2,0.00121046374240078,0.688015131700295,NaN,0.756709381256926
0.35,NaN,0.547226592348956,0.440075051300575,NaN
0.4,0.000953189026731715,NaN,NaN,0.490081773192
0.5,NaN,NaN,0.607042575404021,NaN
0.6,NaN,0.377462627452333,NaN,0.345212089728102
0.65,0.000818644650137295,NaN,NaN,NaN
0.75,NaN,NaN,0.723514143319639,NaN
0.8,NaN,0.314165416619793,NaN,NaN
0.85,NaN,NaN,NaN,0.289133980570524
0.9,0.000472777699871572,NaN,NaN,NaN
0.95,NaN,NaN,0.771822283002065,NaN
1,0.000527746305745195,0.263704768606034,NaN,0.284971195709192
1.5,0.000402489640803255,0.283561091290307,0.749345096128794,0.28280504372214
2,0.000460338726191652,0.234361311031218,NaN,0.231393828802985
