t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,172.098890204151,4.63570237255167,124.043111445455,370.969738066771,256.672931513883,-16.7731382968203,142.279912999827
10,145.487563131383,NaN,23.5628216953033,371.200248364678,NaN,43.9104130502515,77.2530747605293
15,NaN,2.56990526726365,NaN,NaN,157.962770617251,NaN,NaN
20,112.474078061623,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,13.971795746479,113.288356554662,361.966448003778,459.358645117325,146.8888995821,282.666616913532
30,97.3985987515908,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,262.549464038306,NaN,NaN,NaN,263.959492309101
40,104.880305219387,39.5141930191153,NaN,333.659350312541,716.859449552589,268.734049248341,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,498.920613844477
50,NaN,NaN,319.134718553007,414.709097929633,NaN,373.423108824016,NaN
55,82.0737165381526,44.9239413416378,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,611.245160675424,NaN,900.109754215929,NaN,516.279154381596
65,70.0918563377923,NaN,NaN,NaN,NaN,600.075927514205,NaN
70,NaN,58.8927212509247,NaN,440.796776605304,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,1208.23588835173,NaN,705.191862337647
80,93.7570276526322,NaN,712.111695489678,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,495.362739399933,NaN,868.834710934744,NaN
90,NaN,90.9656576582912,NaN,NaN,NaN,NaN,NaN
95,92.6790455904666,NaN,1097.28086536007,NaN,1339.30155072711,NaN,892.991460086577
100,88.8851639542603,95.6532158620412,1119.88239972442,429.808660794554,1203.14572855242,1008.91712923042,1062.99347458751
150,97.5492496898695,125.469548160071,1525.24658329773,463.143421916799,1672.6526302428,1456.83724884338,1741.40451108071
200,95.8555321086544,149.405942972862,2165.59882631403,572.911294859669,2477.10542399393,2011.78124627335,1991.49868751653
250,98.3359403508456,155.730386227602,2462.0908618582,547.451923510991,2681.93502150787,2457.90403923737,2341.77263447329
300,108.203965810122,166.491653958549,2940.69235022713,642.667117045824,3046.38933537651,3018.95719735065,2807.20671937893
