t,Compound_1_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs
0,166.783214100767,34.0263208469405,353.083674977926,114.095423686315
10,172.104419337155,-2.25152881254568,392.919696424953,161.296167854009
20,NaN,NaN,288.703820164933,NaN
25,133.89483111936,56.2030871365227,NaN,265.071483475055
35,NaN,84.1985286846474,477.67482710616,NaN
40,104.737245330204,NaN,NaN,235.843146827073
45,NaN,NaN,482.014643483492,NaN
50,106.266448420615,229.032054252029,NaN,333.880964963084
60,NaN,NaN,827.604388133599,NaN
65,NaN,387.462561665858,NaN,445.476867884196
70,103.626648470411,NaN,NaN,NaN
75,NaN,NaN,743.607571647648,NaN
80,NaN,594.280039642936,NaN,NaN
85,107.085717152077,NaN,NaN,482.701837169094
90,NaN,NaN,916.431468699328,NaN
100,112.40161431293,679.507380747657,989.957578122307,740.36216459011
150,126.370150877591,1156.58544091497,1312.62403237153,1179.32508656197
200,127.346304866586,1550.42301723559,1774.61601572417,1509.3171248752
250,120.649347088793,1795.99663747669,2152.7648202166,1707.52641974206
300,138.304424852868,1977.99026769817,2113.94010199187,1957.69416409741
