t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.70647567477554,1.17161973697147,353.280330734189,370.579530561162
3,2.54673405221627,NaN,NaN,NaN
4,NaN,2.01766973139763,NaN,NaN
5.5,NaN,NaN,375.993133106354,NaN
6.5,2.82762207614147,NaN,NaN,NaN
7,NaN,NaN,NaN,378.07586772399
8.5,NaN,2.33144435107212,NaN,NaN
10,2.59836338221768,NaN,365.660732122122,NaN
15,2.47898843942847,2.30015521594842,361.33638014764,385.761094496853
20,2.55487405028686,2.47090418712004,NaN,367.171837963178
25,2.72983543895055,2.35018240592577,364.395642631909,NaN
30,2.73898868721959,NaN,366.492739515949,353.556391886909
35,NaN,2.4023493781216,NaN,NaN
40,NaN,NaN,350.703116166245,376.485232380332
50,NaN,NaN,390.344451006073,NaN
55,NaN,NaN,NaN,365.236900928024
60,NaN,NaN,366.670604600494,NaN
70,NaN,NaN,NaN,343.100275574105
75,NaN,NaN,414.556679166292,NaN
85,NaN,NaN,NaN,361.241517827895
