t,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs
0,-3.41368179518506,-100.362396708,68.05326377579
10,6.13411764775275,85.4827286282361,4.95627805416119
20,NaN,143.678873924916,110.42581787035
25,22.2496040396915,NaN,NaN
35,39.9723010981039,287.37737343274,297.690577837178
45,NaN,546.517546292845,398.676807708562
50,55.9352020418929,NaN,NaN
55,NaN,603.070422833161,NaN
60,NaN,NaN,558.572653672391
65,71.0343254120432,NaN,NaN
70,NaN,803.501881815855,NaN
75,NaN,NaN,726.339742286736
80,89.3428085783176,NaN,NaN
85,NaN,1061.17877883271,NaN
95,95.6885742502763,NaN,1042.37810435129
100,100.936890978476,1224.66835457503,1076.76281252404
150,143.107813949769,1744.10355451211,1680.98162442483
200,149.949182896714,2453.08792297005,2267.86970587598
250,162.609667080208,3116.168788377,2683.32548611445
300,166.321959533082,3476.35358221385,3297.38881611187
