timepoint,Compound_1_Obs,Compound_2_Obs
0,4.840233110145,8.77028723990488
200,5.04902344215105,NaN
250,NaN,9.7634491930544
400,11.1001638230129,NaN
550,NaN,14.6677184933094
600,8.02923421453283,NaN
800,NaN,5.45250579075648
850,12.1971631890753,NaN
1000,5.28940702695772,3.40947928044089
1500,9.39617870007342,16.1244622474136
2000,3.47954869623522,6.83183424961546
2500,2.88935922868363,5.99577523714019
3000,NaN,4.01648881502616
3500,1.73616020957877,NaN
4000,NaN,0.224741021515008
4500,NaN,0.378319664695277
5500,NaN,0.51078352684424
