timepoint,Compound_1_Obs,Compound_2_Obs
0,15.1818775108367,7.5800271629344
350,8.08602761273014,NaN
400,NaN,10.4063919051701
750,13.7434288601026,NaN
850,NaN,6.559100331491
1000,7.82898130516854,NaN
1500,6.47684527733871,9.81978292777817
2000,14.1408801079946,3.25407211551083
2500,9.66664081121823,4.19311276900085
3000,2.94613696440263,6.07359066275659
4000,1.46866020195623,1.76848221416243
4500,0.779771034420249,2.57547892832748
5500,0.202301221566014,1.5121319243823
6500,0.080045672579673,NaN
7000,NaN,0.92975349739864
8500,NaN,4.10481910906317
