timepoint,Compound_1_Obs,Compound_2_Obs
0,14.6213451163422,7.80953296425714
400,13.3348185290898,19.8367798290684
800,29.455654459834,NaN
850,NaN,4.38866301172381
1000,23.7977517625278,NaN
1500,10.3559610672851,5.03070045245188
2000,6.69880488044973,7.75494572487642
2500,15.0708421423035,7.92293679697966
3000,7.08733701049167,10.5884994847894
3500,NaN,4.84422421311879
4000,2.55614310409432,NaN
4500,2.79240772124014,3.51514689485377
5500,2.91751075626932,1.9497748059721
6500,0.289504197361755,1.11573993323749
8000,0.367913458974056,0.917053669732045
