timepoint,Compound_1_Obs,Compound_2_Obs
0,25.6713252975267,7.59421143740278
450,8.42734405499533,10.5115207953779
900,NaN,4.12778351728898
950,11.3883058079784,NaN
1500,22.3110132710467,4.96523109819718
2000,6.87306659036602,2.82622388454806
2500,6.57370346442632,6.41000825591752
3000,3.77228285822179,5.91844586653566
4000,4.05419712443198,1.65569846843023
4500,NaN,6.6201954804933
5000,3.0661508966659,NaN
6000,0.522891600213851,1.61902374429434
7000,0.181029645013025,1.25300890889902
8500,0.543949745537515,1.22379862837374
