timepoint,Compound_1_Obs,Compound_2_Obs
0,10.8859727451375,8.53124831351427
150,NaN,17.6421331361985
250,NaN,7.59134794796321
400,5.86129559548678,13.8779388371467
550,NaN,9.4491549566336
750,NaN,21.4100675414349
850,4.55269414896042,NaN
900,NaN,9.5733629944971
1000,NaN,9.64332178761524
1500,2.5303582991864,1.69790594313541
2000,1.28591642839937,2.27591431590684
2500,0.794090800587412,1.29685885262268
3000,2.4759983174943,NaN
3500,0.301976527082877,NaN
4500,0.416114365684905,NaN
5500,0.381842430651585,NaN
6500,0.100880898341681,NaN
8000,0.0790136055698109,NaN
