timepoint,Compound_1_Obs,Compound_2_Obs
0,4.85560849548274,10.5987268701723
350,NaN,10.3537072826899
400,10.2735569855604,NaN
750,33.2656712519224,2.92232056099593
1000,8.34118965045458,15.0103008208724
1500,10.3693484285657,4.0506277347998
2000,4.43547594351246,7.59263286513686
2500,6.57369119613967,6.67107778827848
3000,NaN,6.4745395757946
3500,1.40871870647726,3.79469964291677
4000,1.72209949350558,NaN
4500,NaN,1.33872996322036
5000,6.41059887406804,2.46406013591696
6000,1.89891622911475,3.36829795708154
7500,0.685807944339355,1.38613620967153
8500,NaN,0.473669012280183
