timepoint,Compound_1_Obs,Compound_2_Obs
0,9.85529137527325,4.84931431375713
200,0.0151461738241652,NaN
350,0.00426797876870671,0.0216629100857693
550,0.00295408017571903,NaN
700,NaN,0.14817930021061
750,0.00921340039773541,NaN
1000,0.00271478545169416,0.0851163534744984
1500,0.00471762291383441,1.01693004025562
2000,0.00927859652646165,1.22151447986019
2500,0.00724423904982031,1.25394196454235
3000,NaN,2.48849259213002
3500,NaN,1.19151833500963
4500,NaN,1.96770678340463
5500,NaN,1.07713199380752
6500,NaN,0.732647313706457
