timepoint,Compound_1_Obs,Compound_2_Obs
0,4.81681075462522,10.5978876107356
100,NaN,11.2796351125454
200,NaN,2.96847851446416
350,NaN,2.48093032478106
450,NaN,9.95220032269294
500,3.76048931830628,NaN
550,NaN,4.90024975099903
700,NaN,8.84014662544767
850,NaN,3.37653702265368
1000,4.25655054874347,6.04464012316729
1500,1.7729051417889,3.50119824456814
2000,0.688783232340002,1.50244554728587
2500,NaN,1.65486065200435
3000,0.43442789336135,NaN
3500,0.487236534321248,NaN
4500,0.246390611476556,NaN
5500,0.0732785118942003,NaN
7000,0.127028525186863,NaN
8500,0.0365813049345456,NaN
