timepoint,Compound_1_Obs,Compound_2_Obs
0,19.8050330887158,13.0305933995983
250,4.95568265760204,7.46417514080698
500,NaN,12.0982071156652
550,5.11681835391851,NaN
800,NaN,11.5920646548606
850,13.9613784528992,NaN
1000,11.8908818002415,10.4372201553658
1500,8.03559710799775,6.37256664266426
2000,3.79279426420432,1.74518172436782
2500,1.18791895044821,2.32257173354971
3000,1.24313527431915,0.460764799489029
3500,1.06342632535765,NaN
4000,NaN,0.526162090555713
4500,1.3920622054749,1.10320808298043
