timepoint,Compound_1_Obs,Compound_2_Obs
0,21.7376967527292,9.38304055908334
150,NaN,7.82178037749871
350,NaN,5.96293650022084
450,8.79555917880355,NaN
550,NaN,16.8216931847316
750,NaN,7.28400567941012
900,4.21875375301068,NaN
950,NaN,10.182784468686
1000,NaN,7.66235553840049
1500,3.34169005185586,1.81243109787476
2000,1.77043208430728,1.30106270069428
2500,0.860190835920676,0.460632423980724
3000,1.18100265147876,0.691867376011261
4000,0.894573726314995,NaN
5000,0.303916626041709,NaN
6000,0.363975859859857,NaN
7000,0.137760452645141,NaN
8500,0.193782321333951,NaN
