timepoint,Compound_1_Obs,Compound_2_Obs
0,7.54689505977494,11.5436996275974
350,NaN,22.505073663031
400,12.861745404532,NaN
700,NaN,13.3983527421068
800,8.84028421113692,NaN
1000,11.0792289814605,5.6934543143388
1500,21.6033803022119,8.03874953272281
2000,22.2023360825623,8.16962770198448
2500,NaN,6.30312059056651
3000,4.24261396406188,9.88006508324221
3500,5.25378468682258,8.64394288852561
4500,10.0529178699932,6.16298757063958
5000,2.42570879871193,4.30450574259687
6000,NaN,2.50243632333581
6500,2.84133751642622,NaN
7500,NaN,4.37643772994966
8000,0.989299655623623,NaN
