timepoint,Compound_1_Obs,Compound_2_Obs
0,13.8053950237587,8.97707678857389
450,3.9073122657405,7.96709319051588
900,5.77603430663146,12.2203880721175
1500,4.6139512589405,8.76813347325685
2000,5.43280888608298,3.76924560628754
2500,6.29125657544228,6.26555436939265
3000,3.77922465711946,1.40673593080346
4000,3.3657108134398,2.26682641234727
4500,1.82439849530988,1.28485185796154
6000,0.606467593117621,1.46822016537195
7000,0.817368223543528,2.20499584193014
8500,0.452884213232581,0.978809221053225
