t,Epo_Obs,EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs,dEpo_e_Obs
0,2303.72197272997,1755.28906492047,-61.9548040014972,8.82386089976252,47.0076709517523
10,963.043302011008,NaN,NaN,NaN,NaN
20,NaN,663.893246028843,NaN,NaN,NaN
25,971.54929600527,NaN,1029.23095117915,NaN,NaN
30,NaN,NaN,NaN,NaN,39.8569492033528
35,650.211617606695,753.6831706674,NaN,36.8657276264264,NaN
50,670.051794929587,NaN,NaN,NaN,NaN
55,NaN,523.519626431448,1118.0581266527,NaN,NaN
60,NaN,NaN,NaN,NaN,579.810206701586
65,472.92087240468,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,49.3831107283607,NaN
75,NaN,501.939673999589,NaN,NaN,NaN
80,NaN,NaN,1217.88312319708,NaN,NaN
85,376.546246113838,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,1010.08556600148
95,NaN,538.166148298193,NaN,NaN,NaN
100,49.6771506028429,652.058918456341,1110.85317332688,102.210831018068,742.458739244772
150,58.1867649083332,991.513285429627,797.129951997904,129.034701253907,1072.95584368118
200,NaN,1182.68859578595,544.699759824088,115.503410196697,1816.62076782475
250,NaN,1435.71978356932,318.165969077655,126.469153031854,2457.65404107071
300,NaN,1392.20131661236,196.871714472048,144.12658438121,1683.61234116684
350,NaN,1793.17128027653,178.805217825082,159.976223451829,2063.72411348995
400,NaN,1529.51078470511,24.9704303228058,219.108176215733,1726.81111404429
500,NaN,NaN,62.9463881541684,137.61942725248,2033.62416043666
550,NaN,NaN,NaN,NaN,2286.5597643858
600,NaN,NaN,NaN,187.493121662316,NaN
700,NaN,NaN,NaN,NaN,2015.25274502667
750,NaN,NaN,NaN,182.259229040578,NaN
