t,Rec_Obs,pSTAT5_Obs
0,1.59275713169538,0.765389260615958
10,NaN,78.210896762918
15,1.55043677575204,NaN
25,3.41301864399919,58.4034600501743
35,NaN,89.1305055425015
40,1.56550222523131,NaN
50,NaN,118.504022312079
55,3.24570576768926,NaN
65,NaN,78.9163419807823
70,2.61067477355143,NaN
80,NaN,108.590602985253
90,3.05560277986277,NaN
95,NaN,164.399666061897
100,1.54952922398804,172.599654321351
150,0.941484696654563,51.5800442351582
200,1.90865027641365,108.763542133762
250,1.50432175764318,75.0836737833257
300,1.96031007300086,137.226659176508
