t,Y_protein_Obs,GFP_Obs,X_mRNA_Obs
0,500.083793093189,-2.91340407727025,308.459139601128
25,NaN,NaN,-1.774461488077
30,15474.3722137244,NaN,NaN
50,NaN,NaN,-1.72647784800099
55,8057.3163568451,17.8496914398639,NaN
75,NaN,NaN,-2.67470371966691
85,3362.20914545774,NaN,NaN
100,2926.52588679961,18.0073428582486,1.18360286171186
150,2260.55760403028,NaN,0.213107810306546
200,1203.78046542823,57.4981293934351,4.84251316497893
250,155.57766247872,26.9060188584872,4.37268222777393
300,864.472177800776,74.8428187584551,2.41220482394648
350,2422.52733131037,NaN,2.57587737692045
400,NaN,67.2843909129183,NaN
450,697.480501848118,NaN,NaN
500,NaN,101.371623697868,NaN
600,NaN,49.5018443528309,NaN
700,NaN,108.882695590187,NaN
850,NaN,81.6220445793612,NaN
1000,NaN,49.7621946740391,NaN
1500,NaN,50.9963620522643,NaN
