parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
f_pstat3_imp	f_pstat3_imp	lin	0	100	6.34	1	parameterScaleUniform	
gp130_act_jak1	gp130_act_jak1	log10	1e-15	1000000	0.56104797603247	1	parameterScaleUniform	
gp130_deg	gp130_deg	log10	1e-05	1000	0.00660693448007596	1	parameterScaleUniform	
gp130_pro	gp130_pro	log10	1e-05	1000	0.00177827941003892	1	parameterScaleUniform	
jak1_act_basal	jak1_act_basal	log10	1e-15	1000000	0.00309029543251359	1	parameterScaleUniform	
jak1_act_il6	jak1_act_il6	log10	1e-15	1000000	0.0177827941003892	1	parameterScaleUniform	
jak1_gp130_dea	jak1_gp130_dea	log10	1e-15	1000000	0.0660693448007596	1	parameterScaleUniform	
jak1_inh_ruxolitinib	jak1_inh_ruxolitinib	log10	1e-15	1000000	0.00457088189614875	1	parameterScaleUniform	
offset10_SOCS3RNA_Obs	offset10_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset10_SOCS3_Obs	offset10_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset10_nSOCS3RNA1_Obs	offset10_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset10_nSOCS3RNA2_Obs	offset10_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset10_nSOCS3RNA5_Obs	offset10_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset10_nSTAT3_Obs	offset10_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset11_SOCS3RNA_Obs	offset11_SOCS3RNA_Obs	log10	1e-10	1e-06	1e-08	1	parameterScaleUniform	
offset11_SOCS3_Obs	offset11_SOCS3_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset11_nSOCS3RNA1_Obs	offset11_nSOCS3RNA1_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset11_nSOCS3RNA2_Obs	offset11_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset11_nSOCS3RNA5_Obs	offset11_nSOCS3RNA5_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset11_nSTAT3_Obs	offset11_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset12_SOCS3RNA_Obs	offset12_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset12_SOCS3_Obs	offset12_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset12_nSOCS3RNA1_Obs	offset12_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset12_nSOCS3RNA2_Obs	offset12_nSOCS3RNA2_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset12_nSOCS3RNA5_Obs	offset12_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset12_nSTAT3_Obs	offset12_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset13_SOCS3RNA_Obs	offset13_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset13_SOCS3_Obs	offset13_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset13_nSOCS3RNA1_Obs	offset13_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset13_nSOCS3RNA2_Obs	offset13_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset13_nSOCS3RNA5_Obs	offset13_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset13_nSTAT3_Obs	offset13_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset14_SOCS3RNA_Obs	offset14_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset14_SOCS3_Obs	offset14_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset14_nSOCS3RNA1_Obs	offset14_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset14_nSOCS3RNA2_Obs	offset14_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset14_nSOCS3RNA5_Obs	offset14_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset14_nSTAT3_Obs	offset14_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset15_SOCS3RNA_Obs	offset15_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset15_SOCS3_Obs	offset15_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset15_nSOCS3RNA1_Obs	offset15_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset15_nSOCS3RNA2_Obs	offset15_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset15_nSOCS3RNA5_Obs	offset15_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset15_nSTAT3_Obs	offset15_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset16_SOCS3RNA_Obs	offset16_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset16_SOCS3_Obs	offset16_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset16_nSOCS3RNA1_Obs	offset16_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset16_nSOCS3RNA2_Obs	offset16_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset16_nSOCS3RNA5_Obs	offset16_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset16_nSTAT3_Obs	offset16_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset17_SOCS3RNA_Obs	offset17_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset17_SOCS3_Obs	offset17_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset17_nSOCS3RNA1_Obs	offset17_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset17_nSOCS3RNA2_Obs	offset17_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset17_nSOCS3RNA5_Obs	offset17_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset17_nSTAT3_Obs	offset17_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset18_SOCS3RNA_Obs	offset18_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset18_SOCS3_Obs	offset18_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset18_nSOCS3RNA1_Obs	offset18_nSOCS3RNA1_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset18_nSOCS3RNA2_Obs	offset18_nSOCS3RNA2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset18_nSOCS3RNA5_Obs	offset18_nSOCS3RNA5_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset18_nSTAT3_Obs	offset18_nSTAT3_Obs	log10	0.001	10	0.1	1	parameterScaleUniform	
offset19_SOCS3RNA_Obs	offset19_SOCS3RNA_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset19_SOCS3_Obs	offset19_SOCS3_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
