t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,143.102464907591,63.3242280999861,-1.22999249151584,0.16690941794399,-0.199846266867413,-1.66679536665006
15,15.5711566080517,NaN,175.400799947784,160.18979830739,38.3161521910047,NaN
20,NaN,53.2211762034917,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,181.045710349966
30,NaN,NaN,NaN,150.885420503128,42.8435828173897,NaN
35,15.3156189149519,NaN,171.51416445726,NaN,NaN,NaN
40,NaN,49.1682999169771,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,150.390548378921,41.7557711856137,NaN
50,17.4846698009865,NaN,167.370413993934,NaN,NaN,205.633231526123
60,NaN,NaN,NaN,147.888177880878,NaN,NaN
65,NaN,46.2480953271604,NaN,NaN,38.6522084308689,NaN
70,22.6978511366142,NaN,152.289532600457,NaN,NaN,NaN
80,NaN,NaN,NaN,141.110186733847,38.2217307945556,211.861180559932
90,23.1681009070135,43.0268166437623,140.07849118859,NaN,NaN,NaN
100,26.9161150810212,43.2140438135181,137.279763169501,129.121604238413,34.3728882583019,208.857825450891
150,41.2839741611557,38.609385873525,117.559948269879,109.997484703316,28.0970628593692,209.482698700483
200,51.1341223672561,38.8576400835211,90.1188769234408,98.7326883821001,23.5989614229943,182.010983400236
250,64.3522752215257,40.6926053325076,77.8533284666941,81.8456431309146,18.6871122596559,187.430963414908
300,73.106989476502,36.9772473729723,63.9426762401619,65.8858351562374,15.7000283600219,166.546742078616
350,78.376631653179,NaN,45.8947136589586,48.3866753942923,11.9077391644515,155.134827221043
400,86.7161912804709,36.637232870603,41.4236414106694,NaN,11.9333051427861,149.97635444421
450,NaN,34.1815262589152,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,131.141944038708
550,NaN,NaN,NaN,NaN,NaN,121.959039060657
650,NaN,NaN,NaN,NaN,NaN,119.24324672038
