t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,8856.96798925786,257.155644791331,-0.000648572834275783
55,NaN,351.695930751001,NaN
100,NaN,388.224523655609,NaN
150,NaN,372.808540546718,NaN
250,NaN,389.153894913927,NaN
300,NaN,313.174119490242,NaN
350,254521.375365574,NaN,NaN
400,NaN,358.907753109826,NaN
450,NaN,371.123871905587,0.00354008921548008
550,NaN,484.029380558015,NaN
700,166999.477703642,372.394401962675,NaN
850,NaN,256.009777358906,NaN
950,NaN,NaN,0.00973871364544619
1000,98641.6298799186,373.810632264253,NaN
1500,59980.9337667038,NaN,0.00946165978275501
2000,28443.7191885736,NaN,0.00866070841076286
2500,22398.8641862107,NaN,0.00779038298783318
3000,8808.00054826131,NaN,0.00774396610468238
3500,4741.76497472167,NaN,NaN
4000,NaN,NaN,0.00684975608687599
4500,-5029.50845485672,NaN,NaN
5000,NaN,NaN,0.00439327353816368
5500,9707.20002576483,NaN,NaN
6000,NaN,NaN,0.00424752926479316
7000,NaN,NaN,0.00404952615533337
8500,NaN,NaN,0.00237763595148817
