t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,268451.814741805,331.703388738188,0.000182244954824702
40,10424065.1476513,NaN,NaN
60,NaN,256.79611270289,NaN
80,3568165.0876744,NaN,NaN
100,1917256.45414227,373.83554300479,NaN
150,510349.770681249,NaN,NaN
200,366824.082056038,374.36411863334,NaN
250,122492.440870316,339.25136314691,NaN
300,299549.780299725,NaN,NaN
350,NaN,360.78051625928,NaN
400,-210600.099714489,NaN,NaN
450,218458.442635789,297.215296732362,0.00841264385097725
550,109832.698067573,418.500800804516,NaN
650,-95867.0670592731,329.106685840295,NaN
850,NaN,326.492943782396,NaN
950,NaN,NaN,0.00721252828043618
1000,NaN,349.14675308088,NaN
1500,NaN,NaN,0.00625738433067347
2000,NaN,NaN,0.00609792621726672
2500,NaN,NaN,0.00505054578066512
3500,NaN,NaN,0.00469653569472027
4000,NaN,NaN,0.00393497406345067
5000,NaN,NaN,0.00348541624356517
6000,NaN,NaN,0.00140758916038313
7000,NaN,NaN,0.00295590461591705
8500,NaN,NaN,0.000683219715359064
