t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,Compound_1_Obs
0,0.00100682456389298,8.13981387653114e-05,13.7184101939712,0,3.40482143592873
15,0.281976858887801,0.185834981223373,NaN,NaN,3.34681391644509
25,0.249573412169918,NaN,13.6652944158551,0.0917339163893843,NaN
30,NaN,0.122915887635245,NaN,NaN,3.49959018049781
40,0.23639572337639,NaN,NaN,NaN,NaN
45,NaN,0.0948220381939129,14.1490622729819,NaN,2.88635836472121
50,NaN,NaN,NaN,0.122381954765747,NaN
55,0.196952519894364,NaN,NaN,NaN,NaN
65,NaN,0.0889006012589676,NaN,NaN,2.53418203308435
70,NaN,NaN,11.0985581230924,NaN,NaN
75,0.164693823646262,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.167609097280785,NaN
85,NaN,0.0456790843694765,NaN,NaN,2.5209854769219
95,0.210729403107001,NaN,14.1977578324604,NaN,NaN
100,0.153623079690739,0.0716472793507364,NaN,0.144900283194773,3.67665906300305
150,0.155793892347433,0.0424078876735185,12.8608249683776,0.199666308293356,3.94232603153553
200,0.119123361613436,0.0487088519501767,11.7394547709656,0.208377386451842,4.29682438300326
250,0.20012038312805,NaN,15.9224939418985,0.198234856845224,NaN
300,NaN,NaN,15.8187157706638,0.177850489346861,NaN
350,NaN,NaN,12.2741344703588,0.200493534419581,NaN
450,NaN,NaN,9.70612369878214,0.262050392341691,NaN
