t,EpoRJAK2_CIS_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,1.20085862310684,0,0.905096629694619,1.20579183328162e-06,9.63146055052525e-07
4,0.233104932053316,NaN,NaN,NaN,NaN
8.5,0.00501644266774994,NaN,NaN,NaN,NaN
10,NaN,NaN,15.5953655262361,NaN,NaN
15,0.000404159720555229,0.051728320457137,NaN,0.000324183183818874,0.000240275968322646
20,0.000143842165669863,NaN,NaN,NaN,NaN
25,7.75245711201752e-05,NaN,151.309858950651,NaN,NaN
30,NaN,0.125985137476616,NaN,0.000789008032156682,0.000433263971737581
35,2.49733926266307e-05,NaN,204.441261462265,NaN,NaN
45,NaN,0.113974901657663,196.411605816383,NaN,NaN
50,NaN,NaN,NaN,0.000812885751769463,0.000665406827966958
60,NaN,NaN,229.366090847927,NaN,NaN
65,NaN,0.141180432706255,NaN,0.000895936292459145,0.0011182382106117
75,NaN,NaN,296.500887435177,NaN,NaN
85,NaN,0.149505513694945,NaN,0.000897942317710658,0.000968752077637567
95,NaN,NaN,232.997882043992,NaN,NaN
100,NaN,0.188910919543013,236.502072211893,0.000905279604466158,0.000911496779478822
150,NaN,0.214245543143592,239.261180382,0.000523824892665095,0.00084174406531619
200,NaN,0.144605517374802,177.231837250522,0.00042103635946662,0.000555946391703808
250,NaN,0.171404200293331,162.303303773259,0.000474433217431325,0.000303348697362266
300,NaN,0.164783948162627,124.704782678743,0.000546435141131898,0.000633613838120959
