t,SHP1Act_Obs,CISRNA_Obs
0,0.0334726043063821,-0.00328795504992888
10,0.1174370675617,0.0029576789910429
20,0.215797064788764,0.0590298774068386
30,0.259585526627049,NaN
35,NaN,0.147281860243147
45,0.277943225887104,0.184112201517113
55,0.370435132599786,NaN
60,NaN,0.185616177612305
70,0.339604580216853,NaN
80,NaN,0.178189379364612
85,0.368413092452392,NaN
95,NaN,0.168500184273085
100,0.404857464350498,0.149536852980192
150,0.424991140866786,0.0940740493341088
200,0.456546959403033,0.0993360069181319
