t,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,Compound_2_Obs
0,-0.00607296143031081,-0.416991875960061,1.83668648851224e-05,1.71410490201856e-06,111.755065800163
10,NaN,3.06632511655673,NaN,NaN,NaN
15,0.0334901222655624,NaN,5.01356218210287e-05,3.81630870264823e-05,100.092834422236
25,NaN,21.5816811329011,NaN,NaN,NaN
30,0.0608753087019522,NaN,NaN,0.000106151947458622,109.574859119354
35,NaN,NaN,0.000144954178613871,NaN,NaN
40,NaN,38.9459872669805,NaN,NaN,NaN
45,0.0590096183741367,NaN,NaN,NaN,94.5014602819186
50,NaN,48.6844129603574,NaN,0.000166422263067102,NaN
55,NaN,NaN,0.000176742419948975,NaN,NaN
60,NaN,NaN,NaN,NaN,106.951936770707
65,0.0728994301953021,NaN,NaN,0.000172384490696389,NaN
70,NaN,54.0504446725814,NaN,NaN,NaN
75,NaN,NaN,0.000188734906786752,NaN,NaN
80,NaN,NaN,NaN,NaN,107.664529786877
85,0.0731719091182863,57.649795991669,NaN,0.000193796841395713,NaN
95,NaN,NaN,0.000183623246114488,NaN,NaN
100,0.0831852168128981,52.0962758495917,0.000208468597922682,0.000193850374888712,112.223372719409
150,0.0924235731314575,47.7812939486252,0.00016223122571648,0.00017936772172914,101.734462282513
200,0.0968412123973592,44.3624165617397,0.000153988985714745,0.00014286974143355,107.368811845123
250,0.10071613942034,40.7914508995609,0.000143094074282212,0.000134181794879745,101.769858340307
300,0.102411777692501,36.4135777417168,0.000141996686124147,0.000126516247701656,103.455958103736
