t,epo_level,SOCS3nRNA5_Obs
120,2.5e-09,0.000844837152821789
120,2.5e-09,0.000905197871749666
120,2.5e-09,0.000948214326817264
120,2.5e-08,0.00154250584700955
120,2.5e-08,0.00146939293508143
120,2.5e-08,0.00138427937857035
120,1.25e-07,0.00110719707363222
120,1.25e-07,0.00101568667956525
120,1.25e-07,0.00101027056201168
120,2.5e-07,0.000541722362340346
120,2.5e-07,0.000611663981489935
120,2.5e-07,0.000556260800336562
120,2.5e-06,0.000188666881316356
120,2.5e-06,0.000118502985898517
120,2.5e-06,0.000120277244900073
