t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,0.00010150496759142,0.000101740484606141,0,0.983142368661932,1.01065501015034e-06,1.00999404794559e-06,8.52838746320298e-07
6,0.0416757869693876,0.187769789160371,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,12.4933409287379,NaN,NaN,NaN
10,0.0286650010849668,0.128509292723056,0.0912248689908823,NaN,0.000431367912328486,NaN,0.00039020406365779
15,NaN,NaN,NaN,140.910482332028,NaN,0.000732313424660125,NaN
20,0.0176305721905174,0.0860423800105756,NaN,223.128010751822,NaN,NaN,NaN
25,0.0115968677051106,0.0491363240230795,0.144906372126581,262.82885953414,0.000931130864154933,0.000903854634480855,0.000966682349849009
30,0.0153984441359889,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,0.0429970206231863,0.243508963215331,311.053643370973,0.000954128939318706,NaN,0.0013438873798067
40,0.00865797631109278,NaN,NaN,NaN,NaN,0.00145803533293861,NaN
45,NaN,0.0260807745478229,NaN,408.808460741001,NaN,NaN,NaN
50,0.00863705044119913,NaN,0.253256129401728,NaN,0.000667652428673172,NaN,0.00106064470539503
55,NaN,0.0212068424738017,NaN,373.643725620558,NaN,0.000826475213974121,NaN
60,0.00686841626504745,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0211261387213296,0.21268440080804,352.963031526647,0.0011709390833272,NaN,0.00101610009452493
70,0.00601370481458086,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.00080202028421762,NaN
80,NaN,0.0233963618447794,0.250139356028062,245.66868118367,0.000923282144578522,NaN,0.000968372454855115
85,0.00548481842814023,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,314.855353320247,NaN,0.000800418834337456,NaN
100,0.00513962172019885,0.0149027145559763,0.253530998008038,280.962822801478,0.000886648294831423,0.000689476577153781,0.000661885412754207
150,NaN,NaN,0.263057991284104,161.834481618957,0.000679821393468617,0.000546628893370795,0.000657598218472308
200,NaN,NaN,0.291085615770062,NaN,0.000365503046564717,0.000326109903967739,0.000369627631305318
