t,SHP1_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,13.178205451596,0,0.0982064773115623,1.03803097219661e-06,1.24773647171054e-06
10,NaN,NaN,1.95178362508988,NaN,NaN
15,10.1693138283386,0.0283924066031072,NaN,4.65981199151372e-05,3.77331788597342e-05
25,NaN,NaN,19.1238358049479,NaN,NaN
30,NaN,0.0542006909998032,NaN,0.000136263380199386,NaN
35,12.3340789888329,NaN,34.6549519453685,NaN,0.000117188269651122
45,NaN,0.0662595141174737,NaN,0.000186668112238373,NaN
50,16.2182664229456,NaN,39.5818090543902,NaN,NaN
55,NaN,NaN,NaN,NaN,0.000165592527564759
60,NaN,0.052394063576774,NaN,NaN,NaN
65,NaN,NaN,55.9052384339205,0.000178586886855661,NaN
70,15.8550349251795,NaN,NaN,NaN,NaN
75,NaN,0.0855018202917399,NaN,NaN,0.000221219164590069
80,NaN,NaN,63.7341209152264,NaN,NaN
85,NaN,NaN,NaN,0.000163428315870834,NaN
95,13.6019217649848,0.0704481957215633,NaN,NaN,0.000190749352912729
100,13.9174229749794,0.0797486413580362,50.3125378299199,0.000163366573998753,0.000215987670312645
150,10.7934559171226,0.104029859604199,47.7578847439902,0.000132684997291488,0.000145320005484167
200,13.0845638840423,0.120338047212421,43.3150270108692,0.000179092573811464,0.000146749246433611
250,12.588814258575,0.107368429857659,42.7401695097797,0.000124717566514701,0.000165765442564193
300,13.8616207324868,0.0927672509836582,40.7404252177182,0.000165271229022801,0.000161616212779731
