t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,CISRNA_Obs
0,-0.000779818766079171,-0.00362612934541578,-0.00566227864602728,21.7765631932816,3.46186166847525e-05,2.4892640985405e-05,-0.00476206335947234
6,0.067946571982301,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.397943625884757,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,43.1396178597489,NaN,NaN,NaN
10,NaN,NaN,0.0399691807552914,NaN,0.00045247571678677,0.000473760937291454,0.00952663796759588
15,0.0399800171273786,0.180528930103278,NaN,158.944581727075,NaN,NaN,NaN
20,0.0337372124808231,0.14034256603835,NaN,NaN,NaN,NaN,NaN
25,0.0307649561535422,0.114679337871073,0.100681995592578,351.078315025757,0.00135162467367714,0.00134914871011213,0.0562062546779886
35,0.025162887925256,0.0823470632655277,0.115449426152407,420.319789424823,0.00156968167222083,NaN,0.0997206169012793
40,NaN,NaN,NaN,NaN,NaN,0.00163395211817761,NaN
45,0.018973475336113,0.071994258224121,NaN,486.26046718063,NaN,NaN,NaN
50,NaN,NaN,0.126529822782998,NaN,0.00166207541521569,NaN,0.130594494240926
55,0.0150620759702131,0.0460552784858115,NaN,NaN,NaN,0.00170724846239785,NaN
60,NaN,NaN,0.120062020138654,430.27980464264,NaN,NaN,NaN
65,0.0116648910148023,0.0448010974874168,NaN,NaN,0.00138798999133083,NaN,0.138518662216542
70,NaN,NaN,NaN,478.628193634097,NaN,0.00134114946334255,NaN
75,NaN,0.0398530306613862,NaN,NaN,NaN,NaN,NaN
80,0.0105850104689087,NaN,0.140908863166973,NaN,0.00133563676932622,NaN,0.128117598051822
85,NaN,NaN,NaN,375.643110422826,NaN,NaN,NaN
90,NaN,0.0345039634077234,NaN,NaN,NaN,0.0011262510166616,NaN
95,0.0124225471791736,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0128919936019866,0.0349084849582274,0.133208658429379,330.645066389182,0.00111439448779096,0.00111143240318652,0.110193409605126
150,NaN,0.0491267672057307,0.164560891882473,211.483165912193,0.000656198102141634,0.000735349487273379,0.0665782306210983
200,NaN,NaN,0.145789110691292,137.54439555179,0.000551468557989705,0.000559220148013277,0.0521611272510689
