t,epo_level,SHP1Act_Obs,SOCS3nRNA2_Obs
18,2.5e-09,0.00646420773020987,5.80027734651453e-05
18,2.5e-09,0.00647613654009756,4.85486322937614e-05
18,2.5e-09,0.00657100718144774,4.72250837238621e-05
18,2.5e-08,0.0322710866373667,0.000374959992542745
18,2.5e-08,0.0367355601656988,0.000338639052761367
18,2.5e-08,0.0467076831245379,0.000339998370260594
18,1.25e-07,0.0765813850377365,0.00109976582981095
18,1.25e-07,0.0933113415093841,0.00125001865266182
18,1.25e-07,0.10451995352041,0.00144117568999829
18,2.5e-07,0.0813021267156097,0.00123260053278863
18,2.5e-07,0.100746366429214,0.0020139461501829
18,2.5e-07,0.128817485768567,0.00164429318276901
18,1.25e-06,0.175319964026052,0.00194778286998227
18,1.25e-06,0.227523033571609,0.00178678287558474
18,1.25e-06,0.235128123864124,0.00152692924859149
18,2.5e-06,0.19174498232533,0.00161195068223488
18,2.5e-06,0.226792559983774,0.00150396870955974
18,2.5e-06,0.25285795920038,0.00183501007783097
