t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_2_Obs
0,-0.00126693540649754,0.00217922175886462,-0.0142385940461951,-3.43238747627017,4.91121227704697e-05,-3.91423752469802e-05,107.497170066017
5.5,0.0454704275529026,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.186364322246111,NaN,33.5830777323279,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,55.4419310299519
10,0.0274586714039498,NaN,0.107931720974781,NaN,0.000404160090229401,0.000343073825517572,NaN
15,NaN,0.0838625381170867,NaN,124.884624485783,NaN,NaN,56.9107828839705
20,0.0151453997734628,0.063236357047463,0.140317132189821,193.721625314955,NaN,NaN,NaN
25,0.0133427697510861,0.0516130061026827,NaN,NaN,0.00101938187738494,0.000939217360346322,66.6285702612691
30,0.011813073319267,NaN,NaN,312.401555666995,NaN,NaN,54.8120006072433
35,NaN,0.0392829753981573,0.187112722289734,319.022915939848,NaN,0.00116307131740058,NaN
40,0.00980442145226506,NaN,NaN,NaN,0.00129225855009258,NaN,55.2639718480956
45,NaN,0.0339237909027735,0.235379087667373,357.053429597603,NaN,NaN,NaN
50,0.00837724527184562,NaN,NaN,NaN,NaN,0.00121982110610257,67.5214273129109
55,NaN,0.0241321855254514,NaN,351.905029893871,0.00115172391243477,NaN,NaN
60,0.0065482719063747,NaN,0.239222420101157,NaN,NaN,NaN,71.7524709439245
65,NaN,NaN,NaN,341.070650955119,NaN,0.00108381265605754,NaN
70,NaN,0.0194478797771652,NaN,NaN,0.0011239268134053,NaN,NaN
75,0.00532443376107906,NaN,NaN,348.053833822294,NaN,NaN,73.5831044667583
80,NaN,NaN,0.24513022890123,NaN,NaN,0.00103534115701143,NaN
85,NaN,0.0173731956792161,NaN,NaN,NaN,NaN,NaN
90,0.00408955915689415,NaN,NaN,283.108985967334,0.000904911617992928,NaN,69.8165813432676
95,NaN,NaN,0.277925327498228,NaN,NaN,NaN,NaN
100,NaN,0.0146072177705403,0.248527701793697,212.170270282301,0.000843687477664046,0.000815713584900773,81.6569539880077
150,NaN,NaN,0.254784711155333,178.138585178636,0.000530182289088859,0.000567782030281178,83.3958526316138
200,NaN,NaN,0.310504009866952,108.844279681333,0.000334543545894801,0.00048852386223151,95.9718453399412
