t,epo_level,CISnRNA2_Obs
6,2.5e-09,0.117636145969404
6,7.905e-09,0.278187064401741
6,1.25e-08,0.520879349121572
6,1.25e-08,0.660482755882113
6,1.25e-08,0.717019710555879
6,1.75e-08,0.642399702121262
6,2.5e-08,1.43329396097775
6,3.95e-08,2.23492269212815
6,7.9e-08,6.58873280603699
6,1.25e-07,8.64261622589671
6,1.25e-07,8.69449586760314
6,1.25e-07,12.2641680544202
6,1.7675e-07,12.6582625256308
6,1.7675e-07,13.8312744501553
6,1.7675e-07,14.5445269369515
6,2.5e-07,18.2039557831141
6,2.5e-07,18.3034756309209
6,2.5e-07,21.7637197136767
6,7.905e-07,32.971491599058
6,2.5e-06,45.8332890067548
