t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,CISRNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0138324385587949,-3.5076508582821e-05,0.00130510698702458,13.704891242953,-0.00999419149935193,1.89048089234086,1.65976360108977e-05,-3.67662615840366e-05,-0.00013009459692578,-0.00737683235717587,4.15615835282432,104.776889660877
20,NaN,NaN,0.14639876318736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.0286831999544954,NaN,13.8905676908744,NaN,366.573914937419,NaN,NaN,NaN,NaN,NaN,43.5725472372261
30,0.182279281147574,NaN,NaN,NaN,NaN,NaN,0.00151115789821116,NaN,NaN,0.0769335351234426,4.74879311454829,NaN
40,NaN,NaN,NaN,NaN,0.137583969746001,NaN,NaN,0.00168246160126427,0.00159214699518726,NaN,NaN,NaN
45,NaN,NaN,0.0681320124142506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.5622249783385
50,NaN,0.0175872305077223,NaN,14.1311843670592,NaN,462.258270502623,NaN,NaN,NaN,NaN,NaN,NaN
60,0.155440579539491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,0.00151543185014401,NaN,NaN,0.145733315721842,9.89467504853871,NaN
70,NaN,NaN,0.0510910007390587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.9687992970786
75,NaN,0.0117540029100428,NaN,NaN,0.137088084751271,424.433445915281,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,13.8765518537098,NaN,NaN,NaN,NaN,0.0012506102824888,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00125444301977375,NaN,NaN,NaN,NaN
95,0.141558774561491,NaN,0.0416760694538734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,0.0106426313359806,NaN,14.2656382029961,0.158318416132549,354.461230030774,0.0010805244966159,NaN,0.001054180192465,0.11290747496933,11.9106746317717,70.290038640726
150,0.143399359664648,0.00946045998825568,0.0360539526446697,13.7120863253394,0.151463004872,218.134055686933,0.000722628986234177,0.000697995479822785,0.000680240983065913,0.0709861155497309,12.0060669531815,80.47859442639
200,0.152278679515347,0.0090053330412839,0.0243258007552276,14.3935711826884,0.151339588529847,163.655698060613,0.000613613205180885,0.00048473330098254,0.000518481390339106,0.0479999617567303,10.0826845156363,88.2704301722011
250,NaN,0.010490254073481,0.0387595935444689,12.9215253166386,0.160523054179712,134.772006301976,0.000444293854938049,0.000528386126470185,NaN,0.0475741868712072,9.69659264805222,89.5059660699667
300,0.122530793362816,NaN,0.0311239468889276,15.6583851906049,0.157260787488005,149.441214307817,0.000504087967356445,0.000572002100667862,0.000543679673252161,0.0537101868387539,9.39921828139744,89.2640157583426
350,0.120883266697196,0.00924012030682906,NaN,13.2115864125463,NaN,155.439236191546,NaN,NaN,0.000497647244064763,0.0412565373157756,8.91733559326455,NaN
400,NaN,NaN,NaN,NaN,0.167313664584394,NaN,0.000503412129462719,0.00040970966830822,NaN,NaN,NaN,95.4219580371327
450,0.124356786586327,NaN,NaN,14.6935612079166,0.181118183927372,148.867053904895,NaN,NaN,0.000535843543094287,0.0524950889692694,9.02136529051154,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000524078203173594,NaN,NaN,10.0923139230117,NaN
550,NaN,NaN,NaN,NaN,0.1860602629717,NaN,NaN,NaN,0.000563451223675403,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,0.18140747940516,NaN,NaN,NaN,NaN,NaN,8.65665904836618,NaN
800,NaN,NaN,NaN,NaN,0.179985338851113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
