t,GFP_Obs,X_mRNA_Obs,Z_mRNA_Obs
0,-6.24419960484815,165.046815158694,308.608091597357
25,NaN,0.99231447388242,-1.83685799403375
30,21.6602528057837,NaN,NaN
45,NaN,NaN,-3.81492002342563
50,NaN,3.85319592734625,NaN
60,32.7563434846284,NaN,NaN
70,NaN,NaN,7.50299211389669
75,NaN,-5.90609707108312,NaN
90,47.2805639102327,NaN,NaN
100,NaN,7.21797505021253,-5.52757817010859
150,56.7513382871861,-3.65598678478239,13.0717484435372
200,122.207418639298,1.40836834053477,0.0153979775263656
250,170.09599997161,NaN,4.55455880641004
300,NaN,-0.89005303087934,3.68435563680709
350,209.027653238428,-0.833380408620027,-1.91274803842241
450,176.998163371526,NaN,NaN
