t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs,Compound_14_Obs
0,0.0264900616870887,0.979064826378184,0.00707841114081698,0.208646713029498,0.0126470484908906,0.0200983665094706,0.00549442434614979,0.800449106730321,0.0554946188442945,0.703711519208392,0.0127923871675489,0.0277033901485674,0.852502711517192,0.686952337213972
3,NaN,NaN,NaN,0.143228716593448,NaN,NaN,NaN,NaN,NaN,0.685322885404488,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.00865315063917746,NaN,0.00657196372689246,0.763662513958062,NaN,NaN,NaN,0.0235728190005971,NaN,NaN
4,NaN,1.01648417281419,0.00497045188081349,NaN,NaN,0.0200746912653628,NaN,NaN,0.051899406438965,NaN,NaN,NaN,0.719858491530877,0.777896876780266
4.5,0.0218729114659207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126927136396674,NaN,NaN,NaN
6,NaN,NaN,NaN,0.15452260057498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.699173051669203,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,0.00441029956219837,0.719140808934144,NaN,NaN,NaN,0.0270652833565756,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.00704557774327256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.863996908074878,0.00381108273261747,NaN,NaN,0.0193942853678893,NaN,NaN,0.0416038538524683,NaN,NaN,NaN,0.535671203890003,0.684731369255661
9,0.0200390642651926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,0.200618706860794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,1.07063654398608,NaN,NaN,0.00697070146151621,NaN,0.00536025071124872,0.744716945209429,NaN,0.771740170858827,0.0105447194149239,0.0242077589242024,0.790209301725898,0.887034901911999
15,0.0167387387208873,0.901369256099613,0.00474918203162948,0.151292808320837,0.00616586625009266,0.014352534647332,0.00543563556981259,0.714891564709511,0.0341504591495176,0.622576054519834,0.0145595140821293,0.0233114951772407,NaN,0.750165967398033
20,0.0148838774336609,NaN,0.003360752534667,0.203225441231887,0.00622414992473006,0.0158382715157228,0.00584615973048759,0.786679792538136,0.0195831148015107,0.619044581546594,0.0144095482677881,0.0225252434158567,0.83693299546725,NaN
25,NaN,0.930099978469323,0.00404918569977973,0.240806487551432,0.0078872118712328,0.0172141490857828,0.00450341176679611,0.884100071192707,0.0205903739159604,NaN,NaN,0.0249436413281101,0.663782131727624,0.802876494613672
30,0.0122621499908182,0.980745345458546,0.00392647948537837,NaN,NaN,0.0145224746424146,0.00533210331693929,0.688246884087034,0.0126615686209447,0.580729539768784,0.010251414590252,0.020376827169718,0.614902715886201,0.756351049975645
35,0.0127238443690026,NaN,NaN,0.221426215492758,0.00781694476150791,NaN,0.00468657565707065,NaN,NaN,0.511815574096502,NaN,NaN,NaN,NaN
40,NaN,0.863222672408097,0.0034828655834093,0.274929824936215,0.00847774590146992,0.0177305855223538,NaN,0.709151144682632,0.0122303436394903,0.617694911304489,0.011913206135838,0.0112578149772501,0.909880438136668,0.706751463757409
45,NaN,NaN,NaN,NaN,NaN,NaN,0.00478628354770113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.0029015246592914,0.836616011439145,0.00391863583893555,0.189720390024732,0.00588393796334932,0.0174313039366931,0.0036379896181099,0.665427835535577,0.00726111451528775,0.879555429670997,0.00994037442014571,0.0150181350483611,0.775031143976678,0.784804889525958
60,0.0047600030277571,0.888519478193035,0.00335876896307634,0.236862690159641,0.00614453825253114,0.0169895260174065,0.00548756459670636,0.776456608049575,0.00201712595326149,0.789239301005718,0.00977730330965698,0.00810104979184556,0.703131937809862,0.639281531242626
