t,X_protein_Obs,Y_protein_Obs,X_mRNA_Obs
0,-23.8069991401459,1607.7568804671,215.524971659756
20,3859.13474355721,NaN,-2.37609010317677
35,NaN,4753.41059167141,NaN
40,NaN,NaN,1.21932851965281
45,862.093701315042,NaN,NaN
65,NaN,NaN,1.05669587006367
70,367.260730195082,NaN,NaN
75,NaN,928.719914043681,NaN
85,NaN,NaN,-3.06147853044776
95,605.065590092966,NaN,NaN
100,NaN,616.755377758563,4.46045252436949
150,312.294761860351,758.40065145076,-0.306394491750007
200,859.865725189169,354.899153041319,2.12681287463822
250,229.53672730464,NaN,-0.842565699114777
300,736.98686943136,486.043406599205,NaN
350,431.904849495112,666.255868017957,0.177342432651539
450,NaN,618.408020485034,NaN
