t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,EpoRJAK2_CIS_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,0.00106465674509774,0,1.06890982851246e-05,0.994153099826533,45.8508449738837,0,1.03460372441276,9.90105704347001e-07,9.46816163286848e-07
5.5,NaN,NaN,NaN,0.344268851306182,NaN,NaN,NaN,NaN,NaN
9,NaN,0.708071198317787,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1.01832724570326,NaN,NaN,0.0422480739278787,NaN,12.1799249075232,0.975955518211703,NaN,NaN
15,NaN,NaN,4.2238676825017e-05,NaN,31.0705080415906,NaN,NaN,0.000191820139628941,0.000180491584445829
20,0.687519715978329,0.23014595800393,NaN,0.00487336301179065,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,0.00327413000667098,27.2732877273655,19.2055654236185,8.56013758961826,NaN,NaN
30,0.573555048904794,0.132444825230491,NaN,NaN,NaN,NaN,NaN,0.000366987542510823,NaN
35,NaN,NaN,0.00010278342741547,0.0019734528706218,NaN,19.8485268682096,43.8301634870126,NaN,0.000430177872086359
40,NaN,0.0891933123511132,NaN,NaN,26.7023631336887,NaN,NaN,NaN,NaN
45,0.467482378925127,NaN,NaN,0.00162958263442089,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,22.1651229948706,177.040767557733,0.000495488259598426,NaN
55,NaN,0.0652119801861528,0.000136474959907295,0.00134057618065517,25.5202698046708,NaN,NaN,NaN,0.000521099110801914
60,0.456210459411891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,17.4666317707293,413.880124847554,0.000477401311022315,NaN
70,0.421656724166318,0.056256062830601,NaN,NaN,26.7355812005103,NaN,NaN,NaN,NaN
75,NaN,NaN,0.000206397325802129,NaN,NaN,NaN,NaN,NaN,0.000453832256861686
80,NaN,NaN,NaN,NaN,NaN,17.4974282967381,602.176736214363,NaN,NaN
85,NaN,0.0471184589063953,NaN,NaN,NaN,NaN,NaN,0.000434233601894648,NaN
90,0.368750607702445,NaN,NaN,NaN,27.3672530357246,NaN,NaN,NaN,NaN
95,NaN,NaN,0.000297455544175984,NaN,NaN,NaN,817.24239149963,NaN,0.000392930684629856
100,0.357378346269922,0.0462286655394359,0.000368622738204119,NaN,32.4215566378731,14.576967974761,850.744894318306,0.000463491352372966,0.000497823515667902
150,0.343741149764882,0.0355635768263395,0.00101145121030831,NaN,31.5114401220536,13.7220678792779,886.424615927278,0.000360382028610537,0.000383723615440904
200,0.330449807485936,NaN,0.00263029534580778,NaN,35.9426201513115,12.1084372202826,789.542294681132,0.000319732184014575,0.000335516741015266
250,NaN,NaN,0.00607938274743804,NaN,37.7506847383152,11.5824436871855,644.933742033779,0.000299843965114991,0.000304782159540699
300,NaN,NaN,0.00958715222339527,NaN,36.5749877618212,10.2415423751849,595.046027662886,0.00026453942084356,0.000296678602101492
